id;codigo;nombre;estado;tipo
1;67228;Morocco input reboot;Practical bricks-and-clicks encompassing;Architect Technician overriding
2;22306;Licensed program Accounts;Bacon Books;Functionality scale
3;86565;Concrete;front-end digital;Legacy
4;30503;AGP Guinea executive;Rubber;online New Jersey payment
5;41974;Small Soft Keyboard;connect Investment Account;Kentucky Rhode Island Analyst
6;25670;data-warehouse;Integrated;Producer Plastic
7;2258;SDD pixel COM;Mouse bleeding-edge;Tasty Rubber Chair Arizona Forint
8;70035;Rubber Lesotho;synthesizing;Keyboard Junctions Engineer
9;60660;Handcrafted Ball;Small Fresh Towels;bus bleeding-edge
10;28394;San Marino red Bypass;reboot;Chicken
